Código;Código Generico Centro;Nombre Centro;Area Territorial;Titularidad;Tel;Fax;Web;E-Mail;Provincia;Municipio;Localidad;Código Postal;Dirección;Número
28000662;CPR INF-PRI-SEC;JUAN XXIII;Madrid-Norte;Privado Concertado;916516468;916516468;http://www.educa.madrid.org/cc.juanxxiii.alcobendas;cc.juanxxiii.alcobendas@educa.madrid.org;MADRID;ALCOBENDAS;ALCOBENDAS;28100;TRAVESIA ;3
28000698;CPR INF-PRI-SEC;LICEO EUROPEO;Madrid-Norte;Privado;916501062;916505691;http://www.educa.madrid.org/cpr.liceoeuropeo.alcobendas;ginclan@liceo-europeo.es, liceoeuropeo@liceo-europeo.es;MADRID;ALCOBENDAS;ALCOBENDAS;28109;CALLE  DEL CAMINO SUR;10
28000777;CPR INF-PRI-SEC;BIENAVENTURADA VIRGEN MARIA;Madrid-Norte;Privado;916501500;916502603;;bvmsecresoto@telefonica.net;MADRID;ALCOBENDAS;ALCOBENDAS;28109;CALLE  DE BEGONIA;275
28000819;CPR INF-PRI-SEC;SANTA HELENA;Madrid-Norte;Privado;916500317;916500504;;santahelena@santahelena.net;MADRID;ALCOBENDAS;ALCOBENDAS;28109;CALLE  DEL CAMINO ANCHO;12
28000901;CPR INF-PRI-SEC;NTRA. SRA. DE RIHONDO;Madrid-Sur;Privado Concertado;916442053;916442045;http://www.educa.madrid.org/cc.nsrihondo.alcorcon;cc.nsrihondo.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28922;AVENIDA  DE PABLO IGLESIAS;2
28000947;CPR INF-PRI-SEC;SANTISIMA TRINIDAD;Madrid-Sur;Privado Concertado;916191823;916103443;http://www.educa.madrid.org/cc.santisimatrinidad.alcorcon;cc.santisimatrinidad.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28925;CALLE  DE RIBADAVIA;2
28000960;CPR INF-PRI-SEC;NUESTRA SEÑORA DE LOS REMEDIOS;Madrid-Sur;Privado Concertado;916194981;916194981;http://www.educa.madrid.org/cc.nsdelosremedios.alcorcon;cc.nsdelosremedios.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28921;CALLE  DE LOS GUINDALES;17
28001010;CPR INF-PRI-SEC;AMOR DE DIOS;Madrid-Sur;Privado Concertado;916192117;916118527;http://www.educa.madrid.org/cc.amordedios.alcorcon;cc.amordedios.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28924;PLAZA ;1
28001022;CPR INF-PRI-SEC;LA INMACULADA;Madrid-Sur;Privado Concertado;916192515;916113356;http://www.educa.madrid.org/cc.lainmaculada.alcorcon;cc.lainmaculada.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28924;CALLE ;s/n
28001034;CPR INF-PRI-SEC;VIRGEN DEL REMEDIO;Madrid-Sur;Privado Concertado;916195917;916112507;http://www.educa.madrid.org/cc.virgendelremedio.alcorcon;cc.virgendelremedio.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28924;AVENIDA  DE LISBOA;2
28001046;CPR INF-PRI-SEC;CENTRO EDUCATIVO VILLA DE ALCORCON;Madrid-Sur;Privado Concertado;916438329;916448058;http://www.educa.madrid.org/cc.villadealcorcon.alcorcon;cc.villadealcorcon.alcorcon@educa.madrid.org;MADRID;ALCORCÓN;ALCORCÓN;28921;CALLE  DE MADRID;12
28001231;CPR INF-PRI-SEC;SAN PABLO-CEU;Madrid-Oeste;Privado;913520523;917154939;;cmp@ceu.es;MADRID;BOADILLA DEL MONTE;BOADILLA DEL MONTE;28668;AVENIDA  DE MONTEPRÍNCIPE;
28001435;CPR INF;VIRGEN DEL PUERTO;Madrid-Sur;Privado;918910717;918754540;;vdp@colegiovirgendelpuerto.com;MADRID;ARANJUEZ;ARANJUEZ;28300;CALLE  DE CARRETAS;16
28001514;CPR INF-PRI-SEC;SAGRADA FAMILIA;Madrid-Sur;Privado Concertado;918910419;918923648;http://www.educa.madrid.org/cc.sagradafamilia.aranjuez;cc.sagradafamilia.aranjuez@educa.madrid.org;MADRID;ARANJUEZ;ARANJUEZ;28300;CALLE  DEL PRÍNCIPE;15
28001538;CPR INF-PRI;SAN PASCUAL;Madrid-Sur;Privado Concertado;918911917;918929132;http://www.educa.madrid.org/cc.sanpascual.aranjuez;cc.sanpascual.aranjuez@educa.madrid.org;MADRID;ARANJUEZ;ARANJUEZ;28300;CALLE  DEL REY;77-79
28001563;CPR INF-PRI-SEC;APOSTOL SANTIAGO;Madrid-Sur;Privado Concertado;918921200;918921009;http://www.educa.madrid.org/cc.apostolsantiago.aranjuez;cc.apostolsantiago.aranjuez@educa.madrid.org;MADRID;ARANJUEZ;ARANJUEZ;28300;CALLE  DE LAS MORERAS;217
28001605;CPR INF-PRI-SEC;LOYOLA;Madrid-Sur;Privado Concertado;918910505;918923768;http://www.educa.madrid.org/cc.loyola.aranjuez;cc.loyola.aranjuez@educa.madrid.org;MADRID;ARANJUEZ;ARANJUEZ;28300;CALLE  DE VALERAS;24
28001851;CPR INF-PRI-SEC;VIRGEN DE EUROPA;Madrid-Oeste;Privado;916330155;916331717;http://www.educa.madrid.org/cpr.virgendeeuropa.boadilla;secretaria@colegiovirgendeeuropa.com,;MADRID;BOADILLA DEL MONTE;BOADILLA DEL MONTE;28669;CALLE  DEL VALLE DE SANTA ANA;1
28001861;CPR INF-PRI-SEC;TRINITY COLLEGE LICEO SERRANO;Madrid-Oeste;Privado;916330181;916321691;;secretaria@trinitycollege.es;MADRID;BOADILLA DEL MONTE;BOADILLA DEL MONTE;28660;CALLE  PLAYA DE FORMENTOR;s/n
28002142;CPR INF-PRI;REGINA ASSUMPTA;Madrid-Oeste;Privado Concertado;918520313;918525511;http://www.educa.madrid.org/cc.reginaassumpta.cercedilla;cc.reginaassumpta.cercedilla@educa.madrid.org;MADRID;CERCEDILLA;CERCEDILLA;28470;CALLE  DE SAN ANDRÉS;11
28002351;CPR INF-PRI-SEC;INTERNACIONAL PINOSIERRA;Madrid-Norte;Privado;918040212;918040600;;mcaguilera@pinosierra.com;MADRID;TRES CANTOS;TRES CANTOS;28760;CALLE  DEL GAVILÁN;2
28002397;CPR INF-PRI-SEC;SANTISIMA TRINIDAD;Madrid-Oeste;Privado Concertado;918500220;918515588;http://www.educa.madrid.org/cc.trinidad.colladovillalba;cc.trinidad.colladovillalba@educa.madrid.org;MADRID;COLLADO VILLALBA;COLLADO VILLALBA;28400;CALLE  MORALES ANTUÑANO;7
28002488;CPR INF;MAMA JUANITA;Madrid-Este;Privado Concertado;916711120;916714516;http://www.educa.madrid.org/cc.mamajuanita.coslada;cc.mamajuanita.coslada@educa.madrid.org;MADRID;COSLADA;COSLADA;28821;CALLE  DE LA IGLESIA;15
28002506;CPR INF-PRI-SEC;VIRGEN DEL HENAR;Madrid-Este;Privado Concertado;916717171;916717171;http://www.educa.madrid.org/cc.virgendelhenar.coslada;cc.virgendelhenar.coslada@educa.madrid.org;MADRID;COSLADA;COSLADA;28821;CALLE  DE MACHES GÓMEZ;4
28003021;CPR INF-PRI;LICEO JUAN DE LA CIERVA I;Madrid-Sur;Privado Concertado;916830742;916830742;http://www.educa.madrid.org/cc.liceojuancierva.getafe;cc.liceojuancierva.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28903;CALLE  TARRAGONA;3
28003055;CPR INF-PRI;MENGUAL;Madrid-Sur;Privado Concertado;916811638;916827912;http://www.educa.madrid.org/cc.mengual.getafe;cc.mengual.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28902;CALLE ;2
28003092;CPR INF-PRI-SEC;SANTA TERESA;Madrid-Sur;Privado Concertado;916847051;916847552;http://www.educa.madrid.org/cc.santateresa.getafe;cc.santateresa.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28909;CALLE  DE DOLORES VALLE;1
28003110;CPR INF-PRI-SEC;JESUS NAZARENO;Madrid-Sur;Privado Concertado;916950321;916962414;http://www.educa.madrid.org/cc.jesusnazareno.getafe;cc.jesusnazareno.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28901;CALLE  DEL HOSPITAL DE SAN JOSÉ;28
28003134;CPR INF-PRI-SEC;SAN JOSE;Madrid-Sur;Privado Concertado;916953969;916820086;http://www.educa.madrid.org/cc.sanjose.getafe;cc.sanjose.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28901;CALLE  VELASCO;2
28003171;CPR INF-PRI;SAN SEBASTIAN;Madrid-Sur;Privado Concertado;916955320;IDEM;http://www.educa.madrid.org/cc.sansebastian.getafe;cc.sansebastian.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28903;TRAVESIA  DE LOS DEPÓSITOS;2
28003250;CPR INF-PRI-SEC;LA INMACULADA-PADRES ESCOLAPIOS;Madrid-Sur;Privado Concertado;916951900;916951904;www.escolapiosdegetafe.es;cc.lainmaculada.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28901;PLAZA  OBISPO FELIPE SCIO RIAZA;1
28003262;CPR INF-PRI-SEC;DIVINA PASTORA;Madrid-Sur;Privado Concertado;916950519;916951923;http://www.educa.madrid.org/cc.divinapastora.getafe;cc.divinapastora.getafe@educa.madrid.org;MADRID;GETAFE;GETAFE;28901;PASEO  PABLO IGLESIAS;5
28003419;CPR INF-PRI-SEC;LA SALLE;Madrid-Sur;Privado Concertado;918140085;918103016;http://www.educa.madrid.org/cc.lasalle.grinon;cc.lasalle.grinon@educa.madrid.org;MADRID;GRIÑÓN;GRIÑON;28971;CALLE  LEVANTE;1
28003444;CPR INF-PRI-SEC;LA INMACULADA;Madrid-Oeste;Privado Concertado;918540118;918542849;http://www.educa.madrid.org/cc.lainmaculada.guadarrama;cc.lainmaculada.guadarrama@educa.madrid.org;MADRID;GUADARRAMA;GUADARRAMA;28440;CALLE  RECAREDO COLLAR;2
28003584;CPR INF-PRI-SEC;LA INMACULADA;Madrid-Sur;Privado Concertado;916930057;916898527;http://www.educa.madrid.org/cc.lainmaculada.leganes;cc.lainmaculada.leganes@educa.madrid.org;MADRID;LEGANÉS;LEGANES;28911;AVENIDA  VICENTE ALEIXANDRE;1
28003675;CPR INF-PRI-SEC;LICEO SAN PABLO;Madrid-Sur;Privado Concertado;916933223;916948405;http://www.educa.madrid.org/cc.liceosanpablo.leganes;cc.liceosanpablo.leganes@educa.madrid.org;MADRID;LEGANÉS;LEGANES;28912;CALLE  ALHELÍ;1
28003742;CPR INF-PRI-SEC;EL SALVADOR;Madrid-Sur;Privado Concertado;916864015;916864015;http://www.educa.madrid.org/cc.elsalvador.leganes;cc.elsalvador.leganes@educa.madrid.org;MADRID;LEGANÉS;LEGANES;28912;CALLE  SAN VICENTE;17
28003973;CPR INF-PRI-SEC;MONTFORT;Madrid-Este;Privado;918867065;;;;MADRID;LOECHES;LOECHES;28890;AVENIDA  DE LA CONSTITUCIÓN;s/n
28005131;CPR INF-PRI-SEC;BEATA MARIA ANA DE JESUS;Madrid-Capital;Privado Concertado;914735558;914735558;http://www.educa.madrid.org/cc.beatamanadejesus.madrid;cc.beatamanadejesus.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28045;CALLE  DE GUILLERMO DE OSMA;10
28005295;CPR INF-PRI-SEC;DIVINO CORAZON;Madrid-Capital;Privado Concertado;913158107;913150210;http://www.educa.madrid.org/cc.divinocorazon.madrid;cc.divinocorazon.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28029;CALLE  DEL DIVINO REDENTOR;55-57
28005787;CPR INF-PRI-SEC;MARIA INMACULADA;Madrid-Capital;Privado Concertado;917774651;917774651;http://www.educa.madrid.org/cc.mariainmaculada.madrid;cc.mariainmaculada.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28018;CALLE  DE MOGAMBO;5
28005799;CPR INF-PRI-SEC;COLEGIO DIOCESANO MARIA INMACULADA;Madrid-Capital;Privado Concertado;915092950;917051461;http://www.educa.madrid.org/cc.mariainmaculadacarabanchel.madrid;cc.mariainmaculadacarabanchel.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28044;CALLE  DE JOAQUÍN TURINA;62
28005805;CPR INF;MARIA INMACULADA;Madrid-Capital;Privado Concertado;913675838;913675838;;minmaculadaruiz@planalfa.es;MADRID;MADRID;MADRID;28017;CALLE  DE LUIS RUIZ;26
28005842;CPR INF-PRI-SEC;MATER AMABILIS;Madrid-Capital;Privado Concertado;913324935;913323434;http://www.educa.madrid.org/cc.materamabilis.madrid;cc.materamabilis.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28031;CALLE  DE LA GAVIA SECA;15
28006378;CPR INF-PRI-SEC;SANTA ANA Y SAN RAFAEL;Madrid-Capital;Privado Concertado;915738015;915044589;http://www.educa.madrid.org/cc.santaanasanrafael.madrid;cc.santaanasanrafael.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28028;CALLE  DEL DOCTOR ESQUERDO;53
28006457;CPR INF-PRI-SEC;VEDRUNA;Madrid-Capital;Privado Concertado;917983716;917976752;http://www.educa.madrid.org/cc.vedruna-villaverde.madrid;cc.vedruna-villaverde.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28021;CALLE  DE SANTA JOAQUINA DE VEDRUNA;3
28006561;CPR INF-PRI-SEC;ALAMEDA DE OSUNA;Madrid-Capital;Privado;917427011;917427196;http://www.educa.madrid.org/cpr.alamedadeosuna.madrid;colegio@colegio-alameda.com;MADRID;MADRID;MADRID;28042;PASEO  DE LA ALAMEDA DE OSUNA;17
28006597;CPR INF;ALCONERA;Madrid-Capital;Privado Concertado;913133746;;;coalconera@terra.es;MADRID;MADRID;MADRID;28037;CALLE  DE ALCONERA;1
28006767;CPR INF-PRI;AULA NUEVA;Madrid-Capital;Privado;913002889;917593831;;ascen.berron@aulanueva.es;MADRID;MADRID;MADRID;28043;CALLE  DE GREGORIO BENÍTEZ;10
28006779;CPR INF-PRI-SEC;EL AVE MARIA;Madrid-Capital;Privado Concertado;914306527;914379444;http://www.educa.madrid.org/cc.avemaria.madrid;cc.avemaria.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28038;CALLE  DEL DOCTOR SALGADO;16
28006809;CPR INF-PRI-SEC;BEATA FILIPINA-FUND.FELICIANA VIERTOLA;Madrid-Capital;Privado Concertado;917063021;;http://www.educa.madrid.org/cc.beatafilipina.madrid;cc.beatafilipina.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28044;CALLE  DE JOSÉ DE CADALSO;50
28007085;CPR INF;COMENDADORAS DE SANTIAGO;Madrid-Capital;Privado Concertado;915481842;915400070;;comendadoras@telefonica.net;MADRID;MADRID;MADRID;28015;PLAZA  DE LAS COMENDADORAS;10
28007103;CPR INF-PRI-SEC;MADRES CONCEPCIONISTAS;Madrid-Capital;Privado Concertado;915424901;915474027;http://www.educa.madrid.org/cc.mmconcepcionistas.madrid;cc.mmconcepcionistas.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28008;CALLE  DE LA PRINCESA;19
28007127;CPR INF-PRI-SEC;CRISTO REY;Madrid-Capital;Privado Concertado;913021636;917668471;http://www.educa.madrid.org/cc.cristorey.madrid;cc.cristorey.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28033;AVENIDA  DE SAN LUIS;29
28007139;CPR INF-PRI-SEC;CRISTO REY;Madrid-Capital;Privado Concertado;914636445;915260656;http://www.educa.madrid.org/cc.cristorey-latina.madrid;cc.cristorey-latina.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28011;CALLE  DE SANTA ÚRSULA;5
28007152;CPR INF-PRI;LUZ CASANOVA;Madrid-Capital;Privado Concertado;914739150;914739150;http://www.educa.madrid.org/cc.luzcasanova-arganzuela.madrid;cc.luzcasanova-arganzuela.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28045;CALLE  DE ALDEA DEL FRESNO;1
28007191;CPR INF-PRI-SEC;NAZARET-OPORTO;Madrid-Capital;Privado Concertado;914714902;914722219;http://www.educa.madrid.org/cc.nazaretoporto.madrid;cc.nazaretoporto.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28019;CALLE  DE LAS CLARISAS;4
28007292;CPR INF-PRI-SEC;SAGRADO CORAZON DE JESUS;Madrid-Capital;Privado Concertado;914454512;914471291;http://www.educa.madrid.org/cc.scorazonchamberi.madrid;cc.scorazonchamberi.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28010;PASEO  DEL GENERAL MARTÍNEZ CAMPOS;6
28007309;CPR INF-PRI-SEC;COLEGIO NUEVO EQUIPO;Madrid-Capital;Privado Concertado;917421611;917422016;http://www.educa.madrid.org/cc.nuevoequipo.madrid;cc.nuevoequipo.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28027;CALLE  DE LÓPEZ DE ARANDA;5
28007371;CPR INF-PRI;SAN LUIS-FELCA;Madrid-Capital;Privado Concertado;914758162;914756923;;cc.sanluisfelca.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28026;CALLE  DE DOLORES BARRANCO;65
28007395;CPR INF-PRI-SEC;FUNDACION CALDEIRO;Madrid-Capital;Privado Concertado;917255200;917257300;http://www.educa.madrid.org/cc.fundacioncaldeiro.madrid;cc.fundacioncaldeiro.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28028;AVENIDA  DE LOS TOREROS;45
28007607;CPR INF-PRI-SEC;JESUS MAESTRO;Madrid-Capital;Privado Concertado;915530807;915346613;http://www.educa.madrid.org/cc.jesusmaestro.madrid;cc.jesusmaestro.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28003;CALLE  DE JUAN VIGÓN;8
28007826;CPR INF-PRI-SEC;MADRE DE DIOS;Madrid-Capital;Privado Concertado;914158169;91.4139247;http://www.educa.madrid.org/cc.madrededios.madrid;cc.madrededios.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28043;CALLE  DE ÁNGEL MUÑOZ;5
28007917;CPR INF-PRI-SEC;MARIA INMACULADA;Madrid-Capital;Privado Concertado;914466119;914466870;http://www.educa.madrid.org/cc.mariainmaculada-chamberi.madrid;cc.mariainmaculada-chamberi.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28010;PASEO  DEL GENERAL MARTÍNEZ CAMPOS;18
28007942;CPR INF-PRI-SEC;MARIA REINA;Madrid-Capital;Privado Concertado;914075372;914075372;http://www.educa.madrid.org/cc.mariareina.madrid;cc.mariareina.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28017;CALLE  DE GIL Y POLO;7
28007954;CPR INF-PRI-SEC;MARIA REINA;Madrid-Capital;Privado Concertado;913170237;913177644;http://www.educa.madrid.org/cc.mariareina-usera.madrid;cc.mariareina-usera.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28041;AVENIDA  DE ORCASUR;42
28007978;CPR INF-PRI-SEC;MATER CLEMENTISIMA;Madrid-Capital;Privado;914775628;914771327;;materclem@materclem.es;MADRID;MADRID;MADRID;28018;CALLE  DE ANTONIO FOLGUERAS;12
28007991;CPR INF-PRI-SEC;MATER INMACULATA;Madrid-Capital;Privado Concertado;914036200;914036208;http://www.educa.madrid.org/cc.materinmaculata.madrid;cc.materinmaculata.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28027;CALLE  DE LA MADRE ANTONIA PARÍS;1
28008016;CPR INF-PRI;LA MERCED;Madrid-Capital;Privado Concertado;915232299;915221430;;cc.lamerced.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28004;CALLE  DE LUIS DE GÓNGORA;5
28008053;CPR INF-PRI-SEC;MIRASIERRA;Madrid-Capital;Privado Concertado;913673087;913675566;http://www.educa.madrid.org/cc.mirasierra.madrid;cc.mirasierra.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28017;CALLE  DE ASCAO;33
28008107;CPR INF-PRI-SEC;BLANCA DE CASTILLA;Madrid-Capital;Privado Concertado;914460398;915939922;http://www.educa.madrid.org/cc.blancadecastilla.madrid;cc.blancadecastilla.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28010;PASEO  DE EDUARDO DATO;2
28008119;CPR INF;NIÑO JESUS;Madrid-Capital;Privado;913596273;913502200;;;MADRID;MADRID;MADRID;28016;CALLE  DE LA MADRE DE DIOS;40
28008211;CPR INF-PRI-SEC;NTRA. SRA. DEL BUEN CONSEJO;Madrid-Capital;Privado Concertado;914561870;915358498;http://www.educa.madrid.org/cc.nsdelbuenconsejo.madrid;cc.nsdelbuenconsejo.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28040;CALLE  DE JUAN MONTALVO;30
28008223;CPR INF-PRI-SEC;NTRA. SRA. DEL BUEN CONSEJO;Madrid-Capital;Privado Concertado;914132551;91 7440017;http://www.educa.madrid.org/cc.nsbuenconsejo.madrid;cc.nsbuenconsejo.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28043;CALLE  DE ÁBALOS;5
28008296;CPR INF-PRI;NTRA. SRA. DE FATIMA;Madrid-Capital;Privado Concertado;913260455;913260455;http://www.educa.madrid.org/cc.nsfatima.madrid;cc.nsfatima.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28027;CALLE  DE ALCALÁ;292
28008387;CPR INF-PRI-SEC;OBRA SO.N.S.MONTSERRAT-S.SIMON Y S.JUDAS;Madrid-Capital;Privado Concertado;913175643;913172496;http://www.educa.madrid.org/cc.obrasonsmontserrat.madrid;cc.obrasonsmontserrat.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28041;CALLE  DE TRÉVELEZ;3
28008405;CPR INF-PRI-SEC;NTRA. SRA. DE LAS NIEVES;Madrid-Capital;Privado Concertado;917410009;917410009;http://www.educa.madrid.org/cc.nsdelasnieves.madrid;cc.nsdelasnieves.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28022;CALLE  DE ALCALÁ;589
28008430;CPR INF-PRI;NTRA. SRA. DE LA PAZ;Madrid-Capital;Privado Concertado;915528595;915528595;http://www.educa.madrid.org/cc.nsdelapaz.madrid;cc.nsdelapaz.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28007;CALLE  DE VALDERRIBAS;37
28008508;CPR INF-PRI-SEC;NTRA. SRA. DEL PILAR;Madrid-Capital;Privado Concertado;913151215;913154061;http://www.educa.madrid.org/cc.nsdelpilar.madrid;cc.nsdelpilar.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28029;CALLE  DE SAN BENITO;6
28008511;CPR INF-PRI-SEC;NTRA. SRA. DEL PILAR;Madrid-Capital;Privado Concertado;915750404;915763890;http://www.educa.madrid.org/cc.nspilar.madrid;cc.nspilar.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28001;CALLE  DE CASTELLÓ;56
28008600;CPR INF-PRI;LICEO OROQUIETA;Madrid-Capital;Privado Concertado;917961495;917967558;http://www.educa.madrid.org/cc.liceooroquieta.madrid;cc.liceooroquieta.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28041;CALLE  DEL SÁHARA;79
28008636;CPR INF;PATROCINIO DE SAN JOSE;Madrid-Capital;Privado;914152843;;;psanjoseinfantil@planalfa.es;MADRID;MADRID;MADRID;28002;CALLE  DE LUIS LARRAINZA;46
28008703;CPR INF-PRI-SEC;EL PORVENIR;Madrid-Capital;Privado Concertado;915331337;915345492;http://www.educa.madrid.org/cc.elporvenir.madrid;cc.elporvenir.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28003;CALLE  DE BRAVO MURILLO;85
28008791;CPR INF-PRI-SEC;PURISIMA CONCEPCION;Madrid-Capital;Privado Concertado;915219758;915232836;http://www.educa.madrid.org/cc.purisimaconcepcion.madrid;cc.purisimaconcepcion.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28004;CALLE  DE LA PUEBLA;20
28008818;CPR INF;REINA DE LOS ANGELES;Madrid-Capital;Privado;915638760;;;reinadelosangeles@telefonica.net;MADRID;MADRID;MADRID;28002;CALLE  DEL DARRO;30
28008880;CPR INF;EL ARDAL;Madrid-Norte;Privado;916236380;916237527;;elardal@gmail.com;MADRID;SAN SEBASTIÁN DE LOS REYES;SAN SEBASTIAN DE LOS REYES;28708;AVENIDA ;4
28008892;CPR INF-PRI-SEC;SAGRADO CORAZON;Madrid-Capital;Privado Concertado;913023540;917668049;http://www.educa.madrid.org/cc.scorazonchamartin.madrid;cc.scorazonchamartin.madrid@educa.madrid.org;MADRID;MADRID;MADRID;28036;CALLE  DE SANTA MAGDALENA SOFÍA;12
